Firm,NWP 2016,NWP 2017,NWP 2018,NWP 2019,NWP 2020,SCR 2016,SCR 2017,SCR 2018,SCR 2019,SCR 2020,EoF for SCR 2016,EoF for SCR 2017,EoF for SCR 2018,EoF for SCR 2019,EoF for SCR 2020,SCR coverage ratio 2016,SCR coverage ratio 2017,SCR coverage ratio 2018,SCR coverage ratio 2019,SCR coverage ratio 2020,GWP 2016,GWP 2017,GWP 2018,GWP 2019,GWP 2020,EOAOL 2016,EOAOL 2017,EOAOL 2018,EOAOL 2019,EOAOL 2020,GCI 2016,GCI 2017,GCI 2018,GCI 2019,GCI 2020,NER 2016,NER 2017,NER 2018,NER 2019,NER 2020,NCR 2016,NCR 2017,NCR 2018,NCR 2019,NCR 2020,NBEL 2016,NBEL 2017,NBEL 2018,NBEL 2019,NBEL 2020
Firm 1,-17754.10048645742,0,0,0,0,2021.3218622469626,6.9400432308232975e-09,0,0,0,2416.559784992302,3.796177092257411,0,0,0,0.16251965516029768,55887003.05757315,0,0,0,46.76803042498611,0,0,0,0,1243.92499082561,4.398725104861754,0,0,0,0,0.005515162433567464,0,0,0,0,41.013059968847735,0,0,0,0,71.2988409838318,0,0,0,0,9.894597449379987,0,0,0
Firm 2,9.244369313189408,0.09877074830183145,40.812426476455855,35.643070866752666,13.626145148362589,16.459756092235345,15.009073135423128,14.227214158173771,15.037066091884423,1.591638361303183,33.896967279720315,20.945314205790133,78.471171932501,47.73067478997116,28.78416158315556,5.648647051862941,3.683320997264215,10.23950738231817,5.792779750962441,3.1706821860317156,41.794374771369505,6.185296467199545,11.578801427359755,3.891800631616199,16.723242209535766,8.75526056314321,48.42518894491121,0.07082348994019637,43.36837999431913,12.456319039280283,44.46786547748218,29.489599041384793,34.100482155607686,0,0,0.8436718607451861,0.7384046941849708,1.370775850201961,0,0,1.2762961695141901,2.1760708684317653,0.6873162160528358,0,0,45.459689408915395,239.07267234663627,244.2678845643909,0,0
Firm 3,0,0.8061303680871948,36.62019900755589,86.6300177587044,54.74418007968672,486.8877958868649,495.786299030199,626.6122173590844,81.24257946848688,362.0929218655227,693.5226877917346,767.2522030199601,582.6023283780972,114.81972902063747,841.9326761020571,1.1354978298472036,1.7137627458645972,1.2227812097697366,1.3483116636336157,0.2452828567268876,0,68.1051502952764,138.08331610251574,148.586347148166,38.119418231428924,210.91880779528236,100.77689119170718,87.58606677227816,922.4876587624241,412.4662069588938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firm 4,19677.45335334369,41072.81615551643,20885.50644457689,14719.67291443594,49204.46513615872,15975.652771305251,15367.8870992743,10797.123318932956,22788.35946768266,16090.310420323205,29997.67427915598,36644.40479670344,10096.9779332528,8536.23483057462,41636.299252158744,0.679157824749635,1.2248344476876403,2.699101788179343,2.0252063480681985,1.1958290318141402,43375.806960310176,23689.616366977127,68276.76399735965,41081.45344852722,37761.88332103191,24862.167211432417,7191.961835796562,12910.346382805948,12586.973993419428,24127.839035458303,14.34093849912894,71.06244714238561,87.9124713237458,42.280401637337754,3.668493703107413,0.33867829077103734,0.006629329531415659,0.08397676780599463,0.0916669529636263,-0.11838377798728057,0.6724811477198254,1.9869523098314188,1.8415283383643815,3.8172209112193274,-3.5487314600183835,-1.4583904534595367,12.273377933748678,56.12905227079385,146.187938739908,38.903549110622215
Firm 5,128.8122075540615,10.407370936655743,79.57966325390584,79.42362322335269,61.72729473804931,32.742278982636215,43.95403924735113,31.622572008379212,30.119284531868587,91.51528935936774,149.65474813275208,202.85155056668427,167.40653424700514,176.72219873204017,142.78356894548756,1.4634994403047867,4.963117715739771,3.232800383391596,4.342353046406342,1.618599724318172,80.18391635939476,55.798335634099736,55.46511286236725,18.00065242257914,32.277534869186994,262.68352968665073,7.592281334187147,96.9451921246796,104.60976783810227,103.18097233994979,48.73860600477963,425.7488693439914,691.3796685086007,174.1012596512121,5.927624122258505,0.41761563226460585,0.15906355619694026,0.0405871286790751,0.16045514277328013,0.058344943129131153,0.5098712296259755,0.08759192156998218,2.403634704846472,1.2408763136613596,1.8696675468097796,46.17668122431677,282.2703171565344,317.8770030954708,704.1299459691772,582.1919882048094
Firm 6,3091.3921175906476,3357.9340347512,3215.47296702192,53.2175894206748,5969.707515833444,5127.365838924387,5252.809366522446,5460.800869432097,4581.916567008434,3102.9889590388284,3816.6664729491445,1421.1612022864515,4927.791297677109,6793.543081792665,5628.46042581061,0.04204995822714911,0.6206488165725303,1.104387134715542,2.2338223655336296,2.4979637590642176,1966.0631189349251,1199.6570697644295,4061.617189379182,7464.344111727662,4209.115926295028,1730.0510652811818,2681.8824417565443,6397.690379418399,4848.816356810676,9295.371568896366,125.07679228830902,457.3197221458591,364.14875519155095,257.3324523424779,268.5278731760643,0.4135642116949417,0.3917988202704724,0.002661349290642914,0.2725070788523087,0.24950166933032364,0.2809693133498721,0.49660112840242177,0.7000453097771654,1.5232018813659176,0.38456364010608735,843.0400666374704,816.2661941651585,695.6275137869178,504.43594599437927,530.8859345526797
Firm 7,3148.478355811857,3307.129485000403,713.8464201035655,18232.37650982477,6486.658898458129,3352.5004392082656,2155.2016221474432,4246.2390818406375,7597.76341699196,3105.9939560728862,7034.106090456902,4477.933483509581,6458.18840865072,13013.584840915653,7692.023873711289,1.6490175515826815,0.07928339194844859,1.9112325072003506,2.2965745545126657,0.1037128904567473,4169.537704096357,12689.066336204962,5814.003841907128,4224.697702034796,16183.565613808138,9579.73927037392,3474.8107570144134,13507.939847045203,11434.723658397517,13165.525249547232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firm 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10735388701246394,-0.027761171537720484,-0.17763106321913938,0,0,0.2254382597314984,0.4210185364848868,0.3350928997925915,0.9384328163368911,0,0.6405408071339612,1.10621893885633,-0.9621928833220523,0.19351942837209027,0,1.1689494731047958,0.3140880783570367,0.9491476740327188,0.18383154120095938,0.26240689048332055
Firm 9,15.279748475312454,15.175538409074221,27.793658236944854,0.3543223192843499,6.464530757397718,6.949545996216788,23.009005785357722,25.178162050224344,16.348338970459448,16.499678590967953,34.96295366571185,46.8010820455176,7.828986691106148,22.723942704926802,33.47002767464453,3.486424711446342,2.4203360227248085,0.6048681087857004,3.9297994172278137,0.25721955741388536,33.268662901319274,24.4086936004898,31.896964788485416,24.276470100285096,7.422013445389735,0.39724947678504097,15.613578203982316,0.7936629235687084,20.901734359247914,49.33002905362435,213.49653185027373,87.5931237535367,193.0638678857374,78.94937447706832,0,0.5144916610054329,0.14496587009641107,0.23075198748474848,0.6962808583824915,0,1.5006271211481814,1.6248796606506009,1.1037107567337425,1.8564047747461434,0,28.721342948964864,696.5788904749608,790.3521783861547,195.74228765305847,0
Firm 10,404.1160219992416,3882.087306477307,6640.433865586559,5196.618355333824,221.98651559297582,3839.041693741293,5102.458601165536,2578.8272055136586,323.48157450686386,1773.6936842881573,2052.58151699441,11977.144969281377,4128.905509995237,5724.021345596258,8207.819856927576,1.2492463304706627,0.6691804829843994,1.9579214179256925,1.1120324512846302,0.5987866761162269,678.2237701851045,9887.800615569791,9002.10889465722,10552.586689501439,882.4791584372625,7807.061166901381,8980.14836025152,6395.468597786817,4200.109278072575,9062.225268138169,3.671435815594944,100.89725449283647,138.3456332608447,122.9845538632637,189.69732384471436,0.15725873127850556,0.8237712621398708,0.4191208086629825,0.2900927551816981,0.013781017132173334,0.7955763615714424,1.145839027865052,0.4935542740717888,1.5104252319571778,0.07472172245350553,103.63475217890054,31.950665358610767,103.30193159834967,21.43786993972497,172.0825946640494
Firm 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.834344080554196,8.314971665565619,14.13254497015688,62.05414137825499,116.19068578302279,0.4533935147344358,0.5400815198662973,0.08065813225162811,0.5294217250322621,0.6660890796553302,0.31369748840900835,1.6947615569547398,1.4304295427041285,0.12391426526318969,0.9083560704434883,282.91134679257084,114.54962694129,111.23863280015425,160.15745416912745,188.95417109786652
Firm 12,0,0,0,0,0,1.1260371510800897,0.9472278356987943,1.216207085139456,1.725934987768589,1.0605868434299535,2.4609070596874805,2.186284124009043,2.5753111063977085,1.3980606418164419,5.21035008251464,5.11562808740005,3.2628749275837405,5.7356005102034775,2.290197835817658,0.8329425496830719,0,0,0,0,0,0.18845941008198752,1.1773422623795256,6.465634921131908,5.549626506284539,3.077297417439005,114.74985287901761,39.98618472291796,9.262802254206314,66.64366636465283,0.19525143230326936,0.3142750302882245,0.5968749880060442,0.9364719081629924,0.10064557629353038,0.15055748464058316,0.30159258901493374,0.4817366744570189,0.22450164528523345,0.41532182824508235,0.5049326640744637,233.84509500660087,115.59280127649701,43.02477099450592,38.81376948609587,82.09466764555602
Firm 13,4.207070523264865,4.131251294792955,5.3786283339653655,3.005689968452937,3.3197297012654374,1.078746082164669,0.6929582522657587,0.6440807163701958,0.6324763959692573,1.2125216043985712,4.441506914005169,5.059076236571852,4.711040225440177,0.3520127253257993,2.917810042845301,4.853540171498596,3.3494856843804985,2.4661630901581284,0.2646987443938188,4.337470119230872,0.41046357828615293,1.2909176453798232,2.2173577658976837,2.4104568846502086,4.002651447210188,2.8443023564332877,5.256396462847567,5.44409601892105,1.036633052430509,2.2232876826209726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
